a_racel,a_sf1,a_sf2a,a_sex_cr,a_age_cr,a_netinc1,a_indpxus_xw
1,5,2,2,60,1424.041626,0.803939044
1,2,3,2,61,560.000061,1.023356318
1,1,3,1,63,1297.495728,1.264512658
1,1,3,1,32,1274.888916,1.518799305
1,4,2,2,51,1243.084351,1.131628394
1,3,3,2,18,0,1.111351371
1,3,3,1,17,0,1.325095177
1,5,3,1,59,442,1.229497194
1,5,2,2,56,819.666748,0.828893781
1,1,3,2,42,1845.666626,0.987230599
13,1,3,1,30,0,0.465275735
1,5,1,1,59,750.9984131,1.247368693
1,5,1,2,40,853.668335,0.996708453
1,2,3,1,67,950.166626,1.166438937
1,1,3,2,70,251.9582825,1.176529288
13,1,3,1,38,1135.01001,0.990454376
13,1,3,2,36,1408.660034,0.7078619
15,1,3,1,51,955.180603,0.687287569
15,2,3,2,44,1724.34729,0.539898872
15,2,3,2,18,0,0.582979798
1,2,3,2,28,2207,0.925996125
1,3,3,1,25,2947.988037,1.555570364
1,4,3,2,23,986.5766602,1.087094426
1,3,3,2,39,1474.60022,0.855564594
1,2,3,2,41,187.1933136,1.033353448
-7,2,-7,1,40,1909.827026,1.399715543
1,3,3,2,26,676.5267334,0.931358755
1,2,3,2,69,668.416748,1.04813087
1,4,3,2,58,1099.75,0.968594611
1,4,2,1,58,642.388855,1.402928591
1,1,3,2,29,916.8135986,1.113203049
1,2,3,2,37,785.3157349,0.896280646
-7,2,-7,1,36,1856.779785,1.21348691
1,2,3,2,56,803,0.929600596
1,2,3,1,56,1177.666626,1.272789955
1,2,3,2,46,3501.526611,1.172353029
1,4,3,1,17,0,1.249074697
1,3,3,1,65,1028.555542,1.18820858
1,2,3,2,66,303.2488403,1.146695375
1,2,3,2,43,1092.32666,1.084444761
1,1,3,1,18,483.4374695,1.330163598
1,1,3,1,43,2678.493408,1.244495749
-7,1,-7,2,27,2135.276855,0.898774266
1,3,2,1,62,857.333374,0.941580832
1,2,3,2,27,733.1932983,0.929745674
1,3,3,1,30,1491,1.035611629
1,4,2,1,69,910.388916,1.214228988
1,2,2,2,64,713.666687,0.934430659
1,2,3,1,66,1043.221313,1.221537709
1,2,3,2,63,461.0832825,0.948946297
1,1,3,2,43,327.6667175,1.175576448
1,4,2,1,54,1409,1.283904672
1,1,3,2,50,942,1.124806285
1,3,3,1,39,2491,1.183679938
1,3,3,2,41,1026.410034,1.013414979
1,3,3,2,34,198.1875916,0.845937252
1,3,1,2,60,431.6693115,0.853852987
1,3,3,2,40,2396,0.907350183
1,4,1,1,61,20.83332634,0.974182963
1,3,2,2,55,979.8334351,0.876241326
1,4,2,1,39,941.805542,1.055786133
1,4,1,2,34,229.6600189,0.788258612
1,2,3,2,72,1139.33313,1.12251091
-7,2,-7,1,49,865.9941406,1.194616318
1,2,3,2,47,511.3266907,1.297898889
1,3,3,1,50,503.3266602,1.531461239
1,3,3,2,17,445,1.37393868
1,4,3,2,33,1152.359985,0.910005331
-7,2,-7,1,32,2822.404297,1.064122915
-7,5,-7,1,58,0,1.338912249
1,2,3,2,59,1930.347168,0.844043911
-2,2,3,1,43,3106.292969,1.11389184
1,3,3,1,41,3544.32666,1.243549824
1,2,3,2,33,3423.749268,0.872959495
1,3,3,1,61,562.8889771,1.128898621
1,3,3,2,62,588.0556641,0.986631036
1,4,2,1,57,2394.666748,1.407249689
1,2,3,1,47,966.055542,1.536992431
1,5,3,1,20,899.930603,2.349268675
1,1,3,2,40,1459.660034,1.022987247
1,2,3,1,42,1262,1.294708729
1,3,3,1,33,2414.666748,1.053412676
1,2,3,2,29,2819.926758,0.945664823
1,2,3,2,57,820,1.017301559
1,3,3,2,51,957.6600342,1.240810633
1,3,3,1,57,1091,1.478187084
1,2,3,2,20,50.34725571,1.292172551
1,2,3,2,19,1.39151299,1.2588557
1,2,3,1,16,50,1.543664098
1,1,3,1,40,1892.041626,1.348612905
1,3,3,2,40,2392.041748,1.050299048
1,4,2,1,64,1977.56958,0.959955037
1,3,3,2,44,1648.993286,0.959232569
1,3,3,2,42,1015.789978,1.037134409
1,2,3,1,35,1668.243042,1.200651765
2,3,3,2,29,1379.660034,0.941316664
1,2,2,2,48,1077.657471,1.128109694
1,4,1,2,67,787.3131714,1.091198921
1,3,3,2,33,1391,0.906566501
1,3,3,1,25,861,1.496866822
1,1,3,1,24,1591,1.393284559
9,2,3,1,24,991,0.863454819
9,2,3,1,29,2500.487305,0.763339758
9,1,3,2,66,517.8695679,0.699049652
9,4,2,1,69,422.4999695,0.727551341
1,1,3,2,53,1575,1.118959069
-7,1,-7,1,22,380.000061,1.474878907
1,3,3,2,52,47.66666412,1.01102972
-7,4,-7,1,48,944.1334839,1.079961419
9,3,3,2,31,1256.859985,0.582309306
9,2,3,1,31,991,0.698881328
